GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Employee_Mangement_MATC,com.employeemanagement.validation,Validator,47,0,8,0,11,0,7,0,3,0
Employee_Mangement_MATC,com.employeemanagement,EmployeeMangementMatcApplication,8,0,0,0,3,0,2,0,2,0
Employee_Mangement_MATC,com.employeemanagement.exception,TechnicalException,19,0,0,0,8,0,4,0,4,0
Employee_Mangement_MATC,com.employeemanagement.exception,BusinessException,19,0,0,0,8,0,4,0,4,0
Employee_Mangement_MATC,com.employeemanagement.exception,BaseErrorCodes,86,0,0,0,12,0,4,0,4,0
Employee_Mangement_MATC,com.employeemanagement.exception,BaseException,90,0,4,0,25,0,11,0,9,0
Employee_Mangement_MATC,com.employeemanagement.interceptor,ResponseError,185,0,30,0,8,0,28,0,13,0
Employee_Mangement_MATC,com.employeemanagement.interceptor,Response.ResponseBuilder,128,0,6,0,1,0,13,0,10,0
Employee_Mangement_MATC,com.employeemanagement.interceptor,Response,270,98,56,0,2,10,36,16,8,16
Employee_Mangement_MATC,com.employeemanagement.interceptor,ResponseError.ResponseErrorBuilder,50,0,0,0,1,0,6,0,6,0
Employee_Mangement_MATC,com.employeemanagement.interceptor,ResponseInterceptor,35,0,6,0,9,0,7,0,4,0
Employee_Mangement_MATC,com.employeemanagement.interceptor,ResponseExceptionInterceptor,216,0,2,0,45,0,10,0,9,0
Employee_Mangement_MATC,com.employeemanagement.log,AuthLog,331,0,54,0,9,0,45,0,18,0
Employee_Mangement_MATC,com.employeemanagement.model,Address,278,87,62,0,1,9,42,9,11,9
Employee_Mangement_MATC,com.employeemanagement.model,Employee,356,159,86,0,0,13,50,19,7,19
Employee_Mangement_MATC,com.employeemanagement.model,Person,278,87,62,0,1,9,42,9,11,9
Employee_Mangement_MATC,com.employeemanagement.dto,PersonRequest,319,0,54,0,9,0,45,0,18,0
Employee_Mangement_MATC,com.employeemanagement.dto,EmployeeRequest,298,21,54,0,8,1,44,1,17,1
Employee_Mangement_MATC,com.employeemanagement.dto,MessageResponse,68,21,14,0,1,3,12,3,5,3
Employee_Mangement_MATC,com.employeemanagement.dto,AddressRequest,319,0,54,0,9,0,45,0,18,0
Employee_Mangement_MATC,com.employeemanagement.dto,EmployeeResponse,295,24,54,0,7,2,43,2,16,2
Employee_Mangement_MATC,com.employeemanagement.controller,EmployeeController,80,4,0,0,18,1,10,1,10,1
Employee_Mangement_MATC,com.employeemanagement.customdatatypes,Designation,0,69,0,0,0,2,0,1,0,1
Employee_Mangement_MATC,com.employeemanagement.customdatatypes,AddressType,0,15,0,0,0,2,0,1,0,1
Employee_Mangement_MATC,com.employeemanagement.customdatatypes,Gender,0,21,0,0,0,2,0,1,0,1
Employee_Mangement_MATC,com.employeemanagement.service,EmployeeService,89,16,0,0,20,4,7,4,7,4
Employee_Mangement_MATC,com.employeemanagement.configuration,JaegerConfig,32,0,0,0,8,0,3,0,3,0
Employee_Mangement_MATC,com.employeemanagement.configuration,SwaggerConfig,50,0,0,0,8,0,5,0,5,0
Employee_Mangement_MATC,com.employeemanagement.security,AuthenticationService,77,0,0,0,11,0,3,0,3,0
Employee_Mangement_MATC,com.employeemanagement.security,Role,0,15,0,0,0,2,0,1,0,1
Employee_Mangement_MATC,com.employeemanagement.security,AuthenticationResponse.AuthenticationResponseBuilder,26,0,0,0,1,0,4,0,4,0
Employee_Mangement_MATC,com.employeemanagement.security,RegisterRequest.RegisterRequestBuilder,62,0,0,0,1,0,7,0,7,0
Employee_Mangement_MATC,com.employeemanagement.security,AuthenticationResponse,93,0,14,0,5,0,16,0,9,0
Employee_Mangement_MATC,com.employeemanagement.security,SecurityConfig,63,0,0,0,7,0,2,0,2,0
Employee_Mangement_MATC,com.employeemanagement.security,AuthenticationController,18,0,0,0,3,0,3,0,3,0
Employee_Mangement_MATC,com.employeemanagement.security,Users,215,81,46,0,2,13,30,16,7,16
Employee_Mangement_MATC,com.employeemanagement.security,JwtService,97,0,4,0,16,0,12,0,10,0
Employee_Mangement_MATC,com.employeemanagement.security,AuthenticationRequest.AuthenticationRequestBuilder,38,0,0,0,1,0,5,0,5,0
Employee_Mangement_MATC,com.employeemanagement.security,RegisterRequest,177,54,38,0,2,6,25,9,6,9
Employee_Mangement_MATC,com.employeemanagement.security,Users.UsersBuilder,74,0,0,0,1,0,8,0,8,0
Employee_Mangement_MATC,com.employeemanagement.security,JwtAuthenticationFilter,132,0,16,0,27,0,11,0,3,0
Employee_Mangement_MATC,com.employeemanagement.security,AuthenticationRequest,105,34,22,0,2,4,16,6,5,6
Employee_Mangement_MATC,com.employeemanagement.security,ApplicationConfig,40,0,0,0,9,0,7,0,7,0
Employee_Mangement_MATC,com.employeemanagement.dao,EmployeeDaoImp,430,4,30,0,90,1,26,1,11,1
